nonanal   E_solv = -5.090622511185332 kcal/mol
1_iodopropane   E_solv = -2.0953711067822214 kcal/mol
diethyl_ether   E_solv = -2.4629103265721266 kcal/mol
imidazole   E_solv = -9.14407697048011 kcal/mol
naphthalene   E_solv = -4.494690765246935 kcal/mol
n_pentyl_propanoate   E_solv = -4.7211074690075145 kcal/mol
2_fluorophenol   E_solv = -6.741817902115474 kcal/mol
p_cresol   E_solv = -8.96408289753351 kcal/mol
26_dimethylnaphthalene   E_solv = -4.181166866791473 kcal/mol
N_methyl_N_222_trifluoroethyl_aniline   E_solv = -7.378893419631575 kcal/mol
2_methylthiophene   E_solv = -2.1163009585424972 kcal/mol
cyclohexylamine   E_solv = -4.391880079501369 kcal/mol
3_methylpyridine   E_solv = -4.321220991928394 kcal/mol
n_heptylamine   E_solv = -5.238181441114257 kcal/mol
25_dimethyltetrahydrofuran   E_solv = -2.583348983818667 kcal/mol
methyl_cyclohexanecarboxylate   E_solv = -4.554935781513067 kcal/mol
ethyl_butanoate   E_solv = -4.699526353342363 kcal/mol
acetaldehyde   E_solv = -5.292331441294916 kcal/mol
E_hex_2_enal   E_solv = -5.493337830154633 kcal/mol
triacetyl_glycerol   E_solv = -16.252847593150346 kcal/mol
bromomethane   E_solv = -1.177607998592695 kcal/mol
4_chlorophenol   E_solv = -8.942958752677312 kcal/mol
4_methoxyacetophenone   E_solv = -8.501694679219574 kcal/mol
1_nitropropane   E_solv = -2.828628507901883 kcal/mol
hexanoic_acid   E_solv = -10.365347883146343 kcal/mol
prop_2_en_1_ol   E_solv = -6.245627886713242 kcal/mol
methyl_propyl_ether   E_solv = -2.5461243453526183 kcal/mol
2_ethyltoluene   E_solv = -2.461589882210185 kcal/mol
11_diethoxyethane   E_solv = -4.921422113865294 kcal/mol
dimethyl_disulfide   E_solv = -0.9095987048624181 kcal/mol
1_bromohexane   E_solv = -1.0919152924796363 kcal/mol
isobutylbenzene   E_solv = -2.2513530252434983 kcal/mol
indane   E_solv = -2.627093513701802 kcal/mol
propan_1_ol   E_solv = -6.087532413692133 kcal/mol
N_acetylpyrrolidine   E_solv = -7.437949860634585 kcal/mol
1_naphthylamine   E_solv = -9.599381458540014 kcal/mol
o_cresol   E_solv = -8.41868907385977 kcal/mol
buta_13_diene   E_solv = -1.232420606390533 kcal/mol
23_dimethylpentane   E_solv = -0.038280329998791184 kcal/mol
trimethylamine   E_solv = -3.1347452609012367 kcal/mol
isoamyl_acetate   E_solv = -4.9415768217599885 kcal/mol
isopropyl_formate   E_solv = -4.949624179631756 kcal/mol
22_dimethylpentane   E_solv = -0.03662918580252296 kcal/mol
pyrrolidine   E_solv = -4.379492896657401 kcal/mol
cycloheptanol   E_solv = -5.870178102024928 kcal/mol
2_propoxyethanol   E_solv = -11.238103608993484 kcal/mol
undecan_2_one   E_solv = -4.815290226036331 kcal/mol
methyl_t_butyl_ether   E_solv = -2.463071768485947 kcal/mol
26_dimethylpyridine   E_solv = -4.167652896751575 kcal/mol
